userID,username,password,categories
A,new_user_1,1234.0,Electronics
B,new_user_2,1234.0,Cables&Accessories
C,,,
D,new_user100,1234.0,Cables&Accessories|Computers&Accessories
E,new_user_111,1234.0,Electronics
F,new_user_999,1234.0,Electronics
G,new_user_1000,1234.0,Electronics|Computers&Accessories
H,sairam,1234.0,Electronics|Cables&Accessories
I,sairam,1234.0,Electronics|Cables&Accessories
J,bharadwaj,1234.0,Electronics|Cables&Accessories
K,demo,1234.0,Electronics|Cables&Accessories
L,demouser,1234,Electronics
